127.0.0.1 - - [30/Dec/2021:09:46:24 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [30/Dec/2021:09:46:25 +0530] "GET /Fmt_Tags_Assignment/Marksheet.jsp HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [30/Dec/2021:09:46:25 +0530] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [30/Dec/2021:09:50:05 +0530] "GET /Fmt_Tags_Assignment/Marksheet.jsp HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [30/Dec/2021:09:50:47 +0530] "GET /Fmt_Tags_Assignment/Marksheet.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [30/Dec/2021:09:53:16 +0530] "GET /Fmt_Tags_Assignment/Marksheet.jsp HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [30/Dec/2021:09:54:25 +0530] "GET /Fmt_Tags_Assignment/Marksheet.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [30/Dec/2021:09:55:11 +0530] "GET /Fmt_Tags_Assignment/Marksheet.jsp HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [30/Dec/2021:09:55:25 +0530] "GET /Fmt_Tags_Assignment/Marksheet.jsp HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [30/Dec/2021:09:55:45 +0530] "GET /Fmt_Tags_Assignment/Marksheet.jsp HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [30/Dec/2021:09:58:42 +0530] "GET /Fmt_Tags_Assignment/Marksheet.jsp HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [30/Dec/2021:09:59:57 +0530] "GET /Fmt_Tags_Assignment/Marksheet.jsp HTTP/1.1" 200 673
