127.0.0.1 - - [30/Dec/2021:10:27:26 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [30/Dec/2021:10:27:27 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 500 5595
0:0:0:0:0:0:0:1 - - [30/Dec/2021:10:28:22 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [30/Dec/2021:10:29:08 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 500 5673
0:0:0:0:0:0:0:1 - - [30/Dec/2021:10:29:33 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [30/Dec/2021:10:30:11 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 500 5413
0:0:0:0:0:0:0:1 - - [30/Dec/2021:10:30:42 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [30/Dec/2021:10:31:34 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [30/Dec/2021:10:36:35 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [30/Dec/2021:10:39:17 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 500 3775
0:0:0:0:0:0:0:1 - - [30/Dec/2021:10:39:41 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 500 3775
0:0:0:0:0:0:0:1 - - [30/Dec/2021:10:41:20 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 500 3125
0:0:0:0:0:0:0:1 - - [30/Dec/2021:10:57:04 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 500 3779
0:0:0:0:0:0:0:1 - - [30/Dec/2021:10:57:51 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 500 3777
0:0:0:0:0:0:0:1 - - [30/Dec/2021:10:59:15 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 500 3129
0:0:0:0:0:0:0:1 - - [30/Dec/2021:11:01:02 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [30/Dec/2021:11:01:53 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 500 3779
0:0:0:0:0:0:0:1 - - [30/Dec/2021:11:03:12 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [30/Dec/2021:11:03:50 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [30/Dec/2021:11:13:37 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 500 3777
0:0:0:0:0:0:0:1 - - [30/Dec/2021:11:14:03 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [30/Dec/2021:11:14:40 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [30/Dec/2021:11:15:07 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 500 3773
0:0:0:0:0:0:0:1 - - [30/Dec/2021:11:15:34 +0530] "GET /Sql_Tag_Assignment/SqlTags.jsp HTTP/1.1" 200 1379
